Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C2, C30, C31, C32, C35, C36, C37, C47, C48, C52, C55, C58, C9",0603,15,100n,
"C10, C11, C12, C13, C38, C40, C41, C42, C43, C51",0603,10,2u2,
"C14, C15, C16, C3, C4, C5, C6, C7",0603,8,C,
"C19, C46",CAP-TH_BD16.0-P7.50-D1.2-FD,2,LKMI2501K821MF,C443097
"C20, C21, C22, C23, C24, C25, C26",0603,7,10u,
"C27, C28, C29",1210,3,10u,
C33,0603,1,10n,
C34,0603,1,120p,
C39,0603,1,22n,
"C44, C45",0603,2,2n2,
"C49, C50",0603,2,60p,
"C53, C54, C56, C8",0603,4,4n7,
"C59, C60, C61, C62",0603,4,1u,
"D1, D11, D14, D7, D9",D_SOD-323,5,BAT60A,
"D10, D2, D5, D8",0603,4,LED_G,
"D12, D13, D4",SMA_L4.4-W2.8-LS5.1-BI,3,SMA6J60CA-Q,C1518461
D3,0603,1,LED_R,
D6,Nexperia_CFP3_SOD-123W,1,PMEG6020AELR,
FB1,0603,1,FerriteBead,
J1,JST_EH_S8B-EH_1x08_P2.50mm_Horizontal,1,Conn_01x08,
J2,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Conn_01x06,
J3,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Conn_01x03,
"J4, J5, J6","PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",3,Conn_01x01,
J7,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Conn_01x04,
J8,JST_EH_S6B-EH_1x06_P2.50mm_Horizontal,1,Conn_01x06,
L2,IND-SMD_L7.8-W7.8_SDR0805,1,SDR0805-220ML,C139488
"Q1, Q2, Q3, Q4, Q5, Q6",PQFN-8_L6.0-W5.0-P1.27-LS6.0-BL,6,HSBA15810C,C845605
"R1, R2, R3",0603,3,R,
"R11, R14, R16, R18, R25, R31, R37, R39",0603,8,39k,
R12,0603,1,3k3,
R13,0603,1,1M,
"R15, R17, R19, R38, R40, R46, R48, R50, R7, R9",0603,10,2K2,
R20,0603,1,16k,
R21,0603,1,205k,
"R22, R4, R45, R47, R49, R51",0603,6,10k,
"R23, R24, R29, R30, R35, R36",0603,6,4R7,
"R26, R34",R_Shunt_Vishay_WSKW0612,2,0R001,
"R27, R28, R32, R33",0603,4,100R,
R41,0603,1,120R,
R42,0603,1,18k,
"R43, R44",0603,2,10R,
"R5, R59, R6, R60",0603,4,1k,
"R52, R55, R56, R61, R62, R63, R64, R8",0603,8,0R,
"R53, R54",0603,2,5k1,
"R57, R58",0603,2,22R,
SW2,SW_SPST_PTS647_Sx38,1,SW_DIP_x01,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U10,SOT-223-3_TabPin2,1,AMS1117-3.3,
U11,0603,1,10k,C5240595
U2,BarrelJack_Horizontal,1,XT30PW-M,C431092
U3,HTSSOP-56_L14.0-W6.1-P0.50-LS8.1-BL-EP,1,DRV8302DCAR,
U4,CONN-SMD_XH-2PWBPZ,1,XH-2PWBPZ,C2687444
U5,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,ESDCAN24-2BLY,C246766
U6,SMD_227S_WRE,1,744227S,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
U8,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
U9,XSON-7_L2.2-W1.2-P0.50-BL,1,PUSB3AB6Z,C553550
Y1,Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm,1,Crystal,
