Designator,Mid X,Mid Y,Rotation,Layer
C1,27.35,32.925,0.0,top
C10,39.35,47.7,0.0,top
C11,36.65,32.225,270.0,top
C12,23.3,37.475,180.0,top
C13,23.3,39.025,180.0,top
C14,19.55,39.6,90.0,top
C15,23.375,45.575,0.0,top
C16,22.95,75.75,90.0,top
C17,42.65,21.65,180.0,top
C19,61.545407,15.897332,90.0,bottom
C2,27.35,34.6,0.0,top
C20,58.25,44.15,90.0,top
C21,59.775,44.15,90.0,top
C22,61.325,44.15,90.0,top
C23,62.85,44.125,90.0,top
C24,64.375,44.125,90.0,top
C25,65.9,44.1,90.0,top
C26,69.6375,41.05,0.0,top
C27,50.6,49.35,270.0,top
C28,57.05,49.35,270.0,top
C29,53.8,49.35,270.0,top
C3,39.3,35.175,0.0,top
C30,65.85,36.8625,270.0,bottom
C31,65.85,33.5125,270.0,bottom
C32,65.85,30.075,270.0,bottom
C33,50.8625,44.425,90.0,top
C34,53.45,43.6,180.0,top
C35,64.3,25.8375,270.0,top
C36,67.45,25.8375,270.0,top
C37,65.85,25.8375,270.0,top
C38,58.05,26.8,0.0,top
C39,58.275,34.975,270.0,bottom
C4,39.35,33.525,0.0,top
C40,63.6,40.0,90.0,bottom
C41,62.05,40.0,90.0,bottom
C42,53.45,35.4,180.0,top
C43,53.45,36.9,180.0,top
C44,70.7625,31.6,270.0,bottom
C45,70.766571,28.049715,270.0,bottom
C46,60.946067,64.761138,90.0,bottom
C47,70.100076,72.5,270.0,top
C48,17.9875,21.85,90.0,top
C49,14.5,60.25,180.0,top
C5,39.35,49.3,180.0,top
C50,14.500001,65.1,0.0,top
C51,38.85,62.75,270.0,top
C52,26.575,21.75,180.0,top
C53,26.6,18.65,0.0,top
C54,32.1,18.7,0.0,top
C55,32.075,21.875,180.0,top
C56,37.225,18.65,0.0,top
C58,37.2375,21.7,180.0,top
C59,48.5,57.4,90.0,top
C6,29.45,50.525,90.0,top
C60,50.0,57.4,90.0,top
C61,59.25,62.15,180.0,top
C62,59.2625,63.725,180.0,top
C7,27.1,47.425,180.0,top
C8,42.65,18.65,0.0,top
C9,23.275,40.725,180.0,top
D1,10.0,27.55,180.0,top
D10,62.35,58.8,90.0,top
D11,16.75,36.3,270.0,top
D12,14.0,36.85,90.0,top
D13,14.05,29.7,90.0,top
D14,43.75,76.65,270.0,top
D2,47.5,11.9625,90.0,top
D3,49.65,11.9125,90.0,top
D4,86.500076,72.2,90.0,top
D5,90.550076,70.5,270.0,top
